MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
Things Heard & Seen,-2021,Drama$ Horror$ Mystery,5.3,24250,121,
NCIS: Los Angeles,(2009– ),Action$ Crime$ Drama,6.7,49943,43,
Arrival,(II) (2016),Drama$ Sci-Fi,7.9,623912,116,$100.55M
Taxi Driver,-1976,Crime$ Drama,8.2,752553,114,$28.26M
Grease,-1978,Musical$ Romance,7.2,250587,110,$188.76M
El inocente,-2021,Crime$ Drama$ Mystery,7.9,19980,467,
The Movies That Made Us,(2019– ),,7.8,3653,45,
Ragnarok,(2020– ),Action$ Drama$ Fantasy,7.5,31200,45,
The King,(I) (2019),Biography$ Drama$ History,7.2,97848,140,
Ginny & Georgia,(2021– ),,7.5,35247,,
Jupiter's Legacy,-2021,Action$ Adventure$ Drama,6.7,31953,56,
Designated Survivor,(2016–2019),Action$ Drama$ Mystery,7.5,81326,60,
Sing 2,-2021,Animation$ Adventure$ Comedy,,,,
White Collar,(2009–2014),Comedy$ Crime$ Drama,8.2,122230,40,
The Dig,-2021,Biography$ Drama$ History,7.1,60598,112,
Knives Out 2,-2022,Comedy$ Crime$ Drama,,,,
Dirty John,(2018– ),,7.2,18088,44,
The Old Guard,-2020,Action$ Adventure$ Fantasy,6.7,141605,125,
Venom,-2018,Action$ Adventure$ Sci-Fi,6.7,390167,112,$213.52M
The Killing,(2011–2014),Crime$ Drama$ Mystery,8.2,102312,45,
Don't Look Up,-2021,,,,145,
Skins,(2007–2013),,8.2,77286,46,
6 Underground,-2019,Action$ Thriller,6.1,150455,128,
The Fate of the Furious,-2017,Action$ Adventure$ Crime,6.6,215795,136,$226.01M
Captain America: Civil War,-2016,Action$ Adventure$ Sci-Fi,7.8,697750,147,$408.08M
Rurôni Kenshin: Sai shûshô - The Beginning,-2021,Action$ Adventure$ Drama,7.8,1976,137,
Death Note: Desu nôto,(2006–2007),Animation$ Crime$ Drama,9,262556,24,
Naruto,(2002–2007),Animation$ Action$ Adventure,8.3,79832,24,
Black Sails,(2014–2017),Adventure$ Drama,8.2,96550,56,
Run,(I) (2020),Mystery$ Thriller,6.7,55389,90,
Orphan Black,(2013–2017),Action$ Drama$ Sci-Fi,8.3,104501,44,
Grimm,(2011–2017),Crime$ Drama$ Fantasy,7.8,111716,45,
Luther,(2010–2019),Crime$ Drama$ Mystery,8.4,125749,60,
Sexy Beasts,(2021– ),Reality-TV$ Romance,4.7,592,,
Red Notice,-2021,Action$ Comedy$ Crime,,,,
Sen to Chihiro no kamikakushi,-2001,Animation$ Adventure$ Family,8.6,682809,125,$10.06M
Hotel Transylvania: Transformania,-2021,Animation$ Adventure$ Comedy,,,,
Murdoch Mysteries,(2008– ),Crime$ Drama$ Mystery,8.1,11437,48,
Wish Dragon,-2021,Animation$ Adventure$ Comedy,7.2,15262,98,
