MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
CHIPS,-2017,Action$ Comedy$ Crime,6,44487,100,$18.60M
Tuca & Bertie,(2019–2021),Animation$ Comedy,7.4,5730,26,
Mako Mermaids,(2013–2016),Adventure$ Comedy$ Drama,6.8,3445,30,
The School for Good and Evil,-2022,Action$ Drama$ Fantasy,,,,
Security,-2021,Thriller,4.9,1272,118,
Wanted,(2016–2018),Action$ Crime$ Drama,7.7,5050,60,
Malevolent,(III) (2018),Horror$ Mystery$ Thriller,4.8,11672,89,
Acts of Violence,-2018,Action$ Crime,5.3,11683,86,
The Kissing Booth 2,-2020,Comedy$ Romance,5.8,24006,134,
Da 5 Bloods,-2020,Adventure$ Drama$ War,6.5,46703,154,
Taken 3,-2014,Action$ Crime$ Thriller,6,183595,108,$89.26M
Roma,-2018,Drama,7.7,146484,135,
Out of the Furnace,-2013,Action$ Crime$ Drama,6.8,110076,116,$11.33M
October Faction,-2020,Adventure$ Drama$ Fantasy,6.2,9432,39,
Noah,-2014,Action$ Adventure$ Drama,5.7,247033,138,$101.20M
Takers,-2010,Action$ Crime$ Thriller,6.2,59882,107,$57.74M
White Lines,-2020,Crime$ Drama$ Mystery,6.6,15362,60,
Lord of War,-2005,Action$ Crime$ Drama,7.6,300344,122,$24.15M
Blue Jasmine,-2013,Comedy$ Drama,7.3,195580,98,$33.41M
Trouble,(I) (2019),Animation$ Adventure$ Comedy,5.9,2729,87,
The Expendables 2,-2012,Action$ Adventure$ Thriller,6.6,296948,103,$85.02M
SAS: Red Notice,-2021,Action$ Thriller,4.9,6563,124,
MILF,-2018,Comedy,4.7,5187,101,
Seungriho,-2021,Action$ Adventure$ Drama,6.6,20522,136,
El Chapo,(2017– ),Biography$ Crime$ Drama,7.8,16037,43,
Cuckoo,(II) (2012– ),Comedy,7.2,8399,30,
Conan the Barbarian,-2011,Action$ Adventure$ Fantasy,5.2,96638,113,$21.30M
The Loud House,-2021,Animation$ Adventure$ Comedy,,,83,
What/If,-2019,Drama$ Thriller,6.3,13714,55,
Peppa Pig,(2004– ),Animation$ Adventure$ Comedy,6.2,4125,9,
Battle of Britain,-1969,Action$ Drama$ History,7,21366,132,$4.36M
The Cloverfield Paradox,-2018,Action$ Horror$ Sci-Fi,5.5,98742,102,
Close Enough,(2020– ),Animation$ Comedy$ Drama,7.8,6457,23,
The Rain,(2018–2020),Drama$ Sci-Fi$ Thriller,6.3,32861,45,
River,-2015,Crime$ Drama$ Mystery,8,21497,60,
2067,-2020,Sci-Fi,4.9,6977,114,
Begin Again,(II) (2013),Comedy$ Drama$ Music,7.4,147794,104,$16.17M
Newness,-2017,Drama$ Romance,6.3,15240,117,
The Invitation,(I) (2015),Drama$ Mystery$ Thriller,6.6,100313,100,$0.23M
Eli,(I) (2019),Drama$ Horror$ Mystery,5.7,31499,98,
Flashdance,-1983,Drama$ Music$ Romance,6.2,49826,95,$94.90M
Hummingbird,(I) (2013),Action$ Crime$ Drama,6.2,68546,100,$0.03M
Navarasa,-2021,Drama,,,,
Still Game,(2002–2019),Comedy,8.8,6624,30,
Valeria,(2020– ),Comedy$ Drama$ Romance,6.2,3229,47,
The Musketeers,(2014–2016),Adventure$ Drama,7.8,21223,55,
Paddington 2,-2017,Animation$ Adventure$ Comedy,7.8,66462,103,$40.44M
Gake no ue no Ponyo,-2008,Animation$ Adventure$ Comedy,7.7,131204,101,$15.09M
Mechanic: Resurrection,-2016,Action$ Adventure$ Crime,5.7,79668,98,$21.22M
Hit and Run,(2021– ),Action$ Crime$ Drama,,,,
Grand Army,-2020,Drama,7.6,4640,,
Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,(2019– ),Animation$ Comedy$ Romance,8.4,6665,24,
The English Game,(2020– ),Drama$ History$ Sport,7.6,12846,281,
Ma Rainey's Black Bottom,-2020,Drama$ Music,7,44829,94,
The Prom,-2020,Comedy$ Drama$ Musical,5.9,24451,130,
In the Tall Grass,-2019,Horror$ Mystery$ Sci-Fi,5.4,50124,101,
The Adam Project,-2022,Action$ Adventure$ Sci-Fi,,,,
Bronx,-2020,Action$ Crime$ Drama,6.1,7517,116,
Scary Movie 5,-2013,Comedy,3.5,67762,88,$32.02M
Sseulsseulhago Chalranhashin: Dokkaebi,(2016–2017),Comedy$ Drama$ Fantasy,8.6,14034,60,
The War of the Worlds,-2019,Drama$ Sci-Fi,5.1,8131,48,
The Thundermans,(2013–2018),Action$ Comedy$ Drama,5.8,4055,23,
Black Space,(2020– ),Crime$ Drama$ Thriller,6.8,1074,45,
Salem,(2014–2017),Drama$ Fantasy$ Horror,7.2,22579,60,
Kill Me Three Times,-2014,Action$ Comedy$ Crime,5.9,22359,90,$0.02M
Killers,-2010,Action$ Comedy$ Romance,5.5,89080,100,$47.06M
Teen Titans Go!,(2013– ),Animation$ Action$ Adventure,5.4,18481,10,
Cosmos: A Spacetime Odyssey,-2014,Documentary,9.3,114386,557,
White Noise,-2022,Drama$ Mystery,,,,
Trese,(2021– ),Animation$ Action$ Adventure,7.1,2521,33,
The I-Land,-2019,Adventure$ Drama$ Mystery,4.6,15743,281,
Ferry,-2021,Action$ Crime$ Drama,7,8077,106,
Seulgiroun Euisasaenghal,(2020–2021),Comedy$ Drama,8.7,2903,84,
Norsemen,(2016–2020),Comedy,7.8,15751,30,
The Valhalla Murders,(2019–2020),Crime$ Drama$ Mystery,7.1,10077,50,
Teenage Bounty Hunters,-2020,Comedy$ Crime$ Drama,7.7,9250,,
Terrifier,-2016,Horror$ Thriller,5.7,15459,82,
El desorden que dejas,-2020,Crime$ Drama$ Mystery,6.8,7362,56,
The Suite Life of Zack & Cody,(2005–2008),Comedy$ Family,6.5,33934,30,
Klaus,-2019,Animation$ Adventure$ Comedy,8.2,116438,96,
Majo no takkyûbin,-1989,Animation$ Adventure$ Drama,7.9,130851,103,
Havoc,-2022,Action$ Thriller,,,,
Hot Girls Wanted,-2015,Documentary,6.1,16677,84,
Operation Brothers,-2019,Drama$ History$ Thriller,6.6,25897,129,
My Little Pony: Friendship Is Magic,(2010–2020),Animation$ Adventure$ Comedy,7.6,19523,22,
Itaewon Keullasseu,-2020,Drama$ Romance,8.2,8028,70,
Fresh Meat,(2011–2016),Comedy$ Drama,7.8,16355,50,
The Mist,-2017,Drama$ Horror$ Mystery,5.4,23195,42,
The Fundamentals of Caring,-2016,Comedy$ Drama,7.3,65440,97,
Sharknado,(2013 TV Movie),Action$ Adventure$ Comedy,3.3,47705,86,
De slag om de Schelde,-2020,Drama$ War,7.5,1937,124,
Elize Matsunaga: Era Uma Vez Um Crime,-2021,Documentary$ Biography$ Crime,5.8,1241,197,
The Lorax,-2012,Animation$ Adventure$ Comedy,6.4,103009,86,$214.03M
Crashing,-2016,Comedy,7.7,16276,30,
The War Next-Door,(2021– ),Comedy,5.8,228,,
DARLING in the FRANXX,-2018,Animation$ Action$ Drama,7.4,6631,24,
Akame ga Kill!,-2014,Animation$ Action$ Adventure,7.8,19158,24,
Naomi Osaka,-2021,Documentary$ Biography$ Sport,6.2,760,113,
Circle,(II) (2015),Drama$ Horror$ Mystery,6,48882,87,
Alice Through the Looking Glass,-2016,Adventure$ Family$ Fantasy,6.2,98302,113,$77.04M
Continuum,(I) (2012–2015),Action$ Sci-Fi$ Thriller,7.6,58762,45,
Macbeth,(I) (2015),Drama$ History$ War,6.6,54067,113,$1.11M
Blood of Zeus,(2020– ),Animation$ Action$ Fantasy,7.5,14272,30,
Fawlty Towers,(1975–1979),Comedy,8.7,87386,30,
Flowers,(2016–2018),Comedy$ Drama,8.2,4751,30,
Over the Moon,-2020,Animation$ Adventure$ Comedy,6.4,18533,95,
Dota: Dragon's Blood,(2021– ),Animation$ Action$ Adventure,8,11971,25,
The Infiltrator,-2016,Biography$ Crime$ Drama,7,70858,127,$15.43M
Giri/Haji,-2019,Crime$ Drama$ Mystery,7.9,11847,461,
The Do-Over,-2016,Action$ Adventure$ Comedy,5.7,42672,108,
Tales of the City,-2019,Drama,7.4,6914,60,
Doom,-2005,Action$ Horror$ Sci-Fi,5.2,110028,105,$28.21M
Snabba Cash,(2021– ),Action$ Crime$ Drama,7.6,6551,52,
0.03,(2016–2020),Action$ Drama$ Sci-Fi,7.4,22943,49,
How It Ends,-2018,Action$ Adventure$ Drama,5,46842,113,
Deadly Illusions,-2021,Drama$ Thriller,3.7,10519,114,
Man Down,(2013–2017),Comedy,7.6,3520,30,
Kaze no tani no Naushika,-1984,Animation$ Adventure$ Fantasy,8.1,157520,117,$0.50M
The Last Stand,-2013,Action$ Thriller,6.3,135448,107,$12.05M
De rouille et d'os,-2012,Drama$ Romance,7.5,65455,120,$2.06M
Young Guns II,-1990,Action$ Western,6.5,33616,104,$44.14M
My Little Pony: A New Generation,-2021,Animation$ Adventure$ Comedy,,,90,
The Unicorn,(2019–2021),Comedy$ Drama$ Family,7.2,3689,22,
Pan,-2015,Adventure$ Comedy$ Family,5.7,61772,111,$35.09M
Voces,-2020,Drama$ Horror$ Mystery,6.1,11470,97,
Vikings: Valhalla,,Action$ Adventure$ Drama,,,,
The Protector,(2018–2020),Action$ Fantasy$ Sci-Fi,6.7,32936,40,
The Outsider,(I) (2018),Action$ Crime$ Drama,6.3,22393,120,
The One,(2021– ),Crime$ Drama$ Sci-Fi,6.6,10810,,
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo$ kimi ni,-1997,Animation$ Action$ Drama,8.1,43888,87,
Paranoid,-2016,Crime$ Drama$ Mystery,6.7,7413,45,
The Iceman,-2012,Biography$ Crime$ Drama,6.8,72326,106,$1.94M
Las chicas del cable,(2017–2020),Drama,7.6,12876,50,
Hannibal Rising,-2007,Action$ Adventure$ Crime,6.2,106197,121,$27.67M
Living with Yourself,(2019– ),Comedy$ Drama$ Sci-Fi,7.2,27102,26,
The Laundromat,(I) (2019),Comedy$ Crime$ Drama,6.3,46757,96,
The Package,(II) (2018),Comedy$ Thriller,5.5,15474,94,
Cocomelon,(2019– ),Animation$ Comedy$ Family,4.5,273,,
Kodachrome,-2017,Drama,6.8,14021,105,
Reckoning,-2019,Thriller,6.6,4209,460,
Mute,(II) (2018),Mystery$ Sci-Fi$ Thriller,5.5,32496,126,
Messiah,-2020,Drama$ Mystery$ Thriller,7.6,39729,43,
Mowgli,-2018,Adventure$ Drama$ Fantasy,6.5,58420,104,
Bungou Stray Dogs,(2016– ),Animation$ Action$ Comedy,7.8,3754,24,
The Day the Earth Stood Still,-2008,Drama$ Sci-Fi$ Thriller,5.5,165900,104,$79.37M
Miseuteo Shunshain,-2018,Action$ Drama$ History,8.8,5228,80,
Anon,(I) (2018),Crime$ Sci-Fi$ Thriller,6.1,40017,100,
Always Be My Maybe,-2019,Comedy$ Romance,6.8,49867,101,
Ridley Jones,(2021– ),Animation$ Adventure$ Comedy,4.8,108,27,
Suburra - La serie,(2017–2020),Action$ Crime,7.9,12933,50,
Fire Force,(2019– ),Animation$ Action$ Drama,7.7,4529,23,
The Adventures of Sharkboy and Lavagirl 3-D,-2005,Action$ Adventure$ Comedy,3.7,34853,93,$39.18M
One of Us,-2016,Drama$ Mystery$ Thriller,7,7338,231,
Taken 2,-2012,Action$ Crime$ Thriller,6.3,295140,92,$139.85M
Bonding,(2018–2021),Comedy$ Drama,7.2,14488,107,
The Last Thing He Wanted,-2020,Crime$ Drama$ Thriller,4.3,13680,115,
The Ugly Truth,-2009,Comedy$ Romance,6.4,209052,96,$88.92M
Aftermath,(IV) (2021),Drama$ Horror$ Mystery,6.5,20,114,
The Professor,-2018,Comedy$ Drama,6.7,27464,90,
Seven Seconds,-2018,Crime$ Drama,7.7,14101,60,
Kota Factory,-2019,Comedy$ Drama,9.2,52724,45,
Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,(2018– ),Animation$ Drama$ Fantasy,8.2,6463,24,
The Daily Life of the Immortal King,(2020– ),Animation$ Adventure,7.4,559,18,
Dumplin',-2018,Comedy$ Drama,6.6,30553,110,
Sweet Virginia,-2017,Action$ Drama$ Thriller,6.2,9324,93,$0.01M
Making a Murderer,(2015–2018),Documentary$ Crime,8.6,89223,60,
To the Bone,(I) (2017),Drama,6.8,43863,107,
The Perfection,-2018,Drama$ Horror$ Music,6.2,38531,90,
The Sleepover,-2020,Action$ Adventure$ Comedy,5.6,9040,100,
tick$ tick...Boom!,-2021,Biography$ Drama$ Musical,,,115,
Devilman: Crybaby,-2018,Animation$ Action$ Fantasy,7.6,15076,25,
Deliver Us from Evil,(I) (2014),Action$ Biography$ Crime,6.2,73461,118,$30.58M
Set It Up,-2018,Comedy$ Romance,6.5,45957,105,
Baegabondeu,-2019,Action$ Mystery$ Thriller,8.3,5333,60,
Concrete Cowboy,-2020,Drama,6.3,7008,111,
Tae-yang-eui hoo-ye,-2016,Action$ Comedy$ Drama,8.3,11327,60,
Bimilui Soop,(2017– ),Crime$ Drama$ Mystery,8.6,6339,60,
The Human Centipede II (Full Sequence),-2011,Horror,3.8,36912,91,$0.12M
Tate no Yuusha no Nariagari,(2019– ),Animation$ Action$ Adventure,8.1,8129,24,
Kara Para Ask,(2014–2015),Action$ Crime$ Drama,7.3,5300,90,
Shadowplay,(2020– ),Drama$ Thriller,6.5,1072,45,
Selena: The Series,(2020–2021),Biography$ Drama$ Music,6.8,3948,40,
Skater Girl,-2021,Drama$ Family$ Sport,6.7,2947,107,
Calibre,-2018,Drama$ Thriller,6.8,24891,101,
Sightless,-2020,Drama$ Thriller,5.5,6552,89,
Tiny Pretty Things,(2020– ),Drama$ Mystery$ Thriller,5.9,8033,60,
Baki,(2018–2020),Animation$ Action$ Drama,6.7,4329,45,
Mudbound,-2017,Drama$ War,7.4,45231,134,
Close,(I) (2019),Action$ Drama$ Thriller,5.7,22708,94,
Dead Man Down,-2013,Action$ Crime$ Drama,6.5,65672,118,$10.88M
Sexify,(2021– ),Comedy$ Drama,6.5,4053,40,
Paradise PD,(2018– ),Animation$ Action$ Comedy,6.9,15799,28,
Selling Sunset,(2019– ),Reality-TV,6.3,3693,30,
Greenleaf,(2016–2020),Drama,7.4,4624,60,
Raising Dion,(2019– ),Drama$ Sci-Fi,7.2,9560,50,
Country Comfort,-2021,Comedy$ Drama$ Family,6.9,2617,,
Family Reunion,(2019– ),Comedy,6.6,2049,28,
A Week Away,-2021,Drama$ Family$ Musical,5.8,3565,94,
Step Up,-2006,Crime$ Drama$ Music,6.5,113232,104,$65.33M
The Social Dilemma,-2020,Documentary$ Drama,7.6,72604,94,
The Promise,(II) (2016),Action$ Adventure$ Drama,6,174181,133,
Mignonnes,-2020,Drama,3.2,28451,96,
Everything Sucks!,-2018,Comedy$ Drama,7.5,16163,30,
Night Stalker: The Hunt for a Serial Killer,-2021,Documentary$ Crime$ Mystery,7.5,20124,189,
Kakegurui,(2017– ),Animation$ Drama$ Mystery,7.2,6269,24,
The Night Comes for Us,-2018,Action$ Thriller,7,23261,121,
Child 44,-2015,Crime$ Drama$ History,6.5,67925,137,$1.21M
To All the Boys: Always and Forever,-2021,Comedy$ Drama$ Romance,6.3,19098,109,
The Flower of Evil,-2020,Crime$ Mystery$ Romance,8.8,4151,70,
Berlin Syndrome,-2017,Drama$ Horror$ Mystery,6.3,23476,116,$0.03M
Office Christmas Party,-2016,Comedy,5.9,72433,105,$54.77M
White Girl,-2016,Crime$ Drama,5.7,10127,88,$0.20M
Pine Gap,-2018,Drama$ Mystery$ Thriller,7.2,4182,360,
Cargo,(I) (2017),Drama$ Horror$ Sci-Fi,6.3,39943,105,
Away,-2020,Drama$ Romance$ Sci-Fi,6.6,22137,498,
Mercury Rising,-1998,Action$ Crime$ Drama,6.1,70935,111,$32.94M
Game Over$ Man!,-2018,Action$ Comedy,5.4,27756,101,
Friends from College,(2017–2019),Comedy$ Drama,6.9,19088,30,
Limitless,(2015–2016),Comedy$ Crime$ Drama,7.7,63498,42,
Spectral,-2016,Action$ Adventure$ Sci-Fi,6.3,55165,107,
The Siege of Jadotville,-2016,Action$ Drama$ History,7.2,35164,108,
Velvet Buzzsaw,-2019,Horror$ Mystery$ Thriller,5.7,56534,113,
Secret Obsession,-2019,Thriller,4.4,19545,97,
Don't F**k with Cats: Hunting an Internet Killer,-2019,Documentary$ Crime,8,42827,187,
Suburbicon,-2017,Comedy$ Crime$ Drama,5.7,41867,105,$5.78M
Bajocero,-2021,Action$ Adventure$ Crime,6.2,16022,106,
The Titan,-2018,Drama$ Mystery$ Romance,4.8,29407,97,
W lesie dzis nie zasnie nikt,-2020,Horror$ Thriller,4.8,8260,102,
The King: Youngwonui Gunjoo,-2020,Fantasy$ Mystery$ Romance,8.3,8068,70,
Horse Girl,(I) (2020),Drama$ Mystery$ Thriller,5.9,15901,103,
Small Town Crime,-2017,Crime$ Mystery$ Thriller,6.6,10480,91,
The Two Popes,-2019,Comedy$ Drama,7.6,113825,125,
A Fall from Grace,-2020,Drama$ Fantasy$ Thriller,5.9,13360,120,
Alexa & Katie,(2018–2020),Comedy$ Drama,7.5,3660,25,
Goosebumps,(1995–1998),Family$ Fantasy$ Horror,7.7,12427,22,
The Italian Job,-1969,Action$ Comedy$ Crime,7.3,43775,99,
Better Watch Out,(II) (2016),Comedy$ Horror$ Thriller,6.5,33703,89,$0.02M
Safe,(I) (2012),Action$ Crime$ Thriller,6.5,106164,94,$17.14M
Love Wedding Repeat,-2020,Comedy$ Romance,5.5,18758,100,
Killerman,-2019,Action$ Crime$ Thriller,5.4,4495,112,$0.28M
Blitz,-2011,Action$ Crime$ Thriller,6.2,83777,97,
The Devil's Own,-1997,Action$ Crime$ Drama,6.2,62161,111,$42.87M
Kaze tachinu,-2013,Animation$ Biography$ Drama,7.8,77732,126,$5.21M
Monster,(II) (2018),Crime$ Drama,6.5,4559,98,
The Boss Baby: Back in Business,(2018–2021),Animation$ Adventure$ Comedy,6.5,2948,25,
Spinning Out,-2020,Drama$ Sport,7.6,11776,48,
Tenkû no shiro Rapyuta,-1986,Animation$ Adventure$ Drama,8,155408,125,
I Don't Feel at Home in This World Anymore,-2017,Comedy$ Crime$ Drama,6.9,52197,93,
The Meyerowitz Stories (New and Selected),-2017,,6.9,45047,112,
Alta mar,(2019–2020),Crime$ Drama$ Mystery,6.8,6483,50,
Super Dark Times,-2017,Crime$ Drama$ Horror,6.6,20965,103,$0.03M
Clickbait,-2021,Crime$ Drama$ Mystery,,,,
Zwartboek,-2006,Drama$ Thriller$ War,7.7,74139,145,$4.40M
The Half of It,(I) (2020),Comedy$ Drama$ Romance,6.9,31488,104,
Flaked,(2016– ),Comedy$ Drama$ Romance,7.2,10782,30,
Before I Wake,-2016,Drama$ Fantasy$ Horror,6.2,42362,97,
Gwimul,(2021– ),Drama$ Mystery$ Thriller,8.2,1153,70,
Someone Great,-2019,Comedy$ Romance,6.2,19530,92,
Feel the Beat,-2020,Comedy$ Drama$ Family,6.3,9400,109,
See No Evil$ Hear No Evil,-1989,Comedy$ Crime,6.9,51788,103,$46.91M
Aseudal Yeondaegi,(2019– ),Action$ Drama$ Fantasy,8.4,3266,80,
Dare Me,(2019–2020),Crime$ Mystery$ Thriller,6.7,4049,42,
Dolemite Is My Name,-2019,Biography$ Comedy$ Drama,7.3,56613,118,
Le Bazar de la Charité,-2019,Drama$ History,7.7,3736,48,
Beasts of No Nation,-2015,Drama$ War,7.7,76530,137,$0.08M
Killjoys,(2015–2019),Action$ Adventure$ Sci-Fi,7.2,20794,42,
Don't Trust the B---- in Apartment 23,(2012–2013),Comedy,7.3,35329,22,
Vivir sin permiso,(2018–2020),Drama,7.5,3769,75,
We Summon the Darkness,-2019,Horror$ Music$ Thriller,5.2,8597,91,
Voltron: Legendary Defender,(2016–2018),Animation$ Action$ Adventure,8.1,8043,23,
Kalifat,(2020– ),Crime$ Drama$ Thriller,8.2,15200,46,
Final Score,-2018,Action$ Drama$ Thriller,5.8,10598,104,
Sick Note,(2017–2018),Comedy$ Crime,6.8,6468,30,
When We First Met,-2018,Comedy$ Fantasy$ Romance,6.4,44822,97,
Myth & Mogul: John DeLorean,(2021– ),Documentary$ Biography$ Crime,7,213,,
Isn't It Romantic,-2019,Comedy$ Fantasy$ Musical,5.9,65584,89,$48.79M
Great News,(2017–2018),Comedy,7,5958,22,
Karppi,(2018–2020),Crime$ Drama$ Mystery,7.2,7267,45,
La trêve,(2016– ),Crime$ Drama$ Thriller,7.6,5936,52,
Red Dot,-2021,Drama$ Horror$ Thriller,5.5,11555,86,
The Midnight Gospel,(2020– ),Animation$ Adventure$ Comedy,8.2,13931,23,
Rise of Empires: Ottoman,-2020,Documentary$ Drama$ History,7.9,20016,44,
Ludo,-2020,Action$ Comedy$ Crime,7.6,33766,149,
Derek,(2012–2014),Comedy$ Drama,8,29242,23,
Tyrant,(2014–2016),Action$ Drama$ Thriller,7.8,22324,60,
Athlete A,-2020,Documentary$ Crime$ Sport,7.6,8827,103,
Verónica,(I) (2017),Horror,6.2,37751,105,
Chambers,-2019,Drama$ Fantasy$ Horror,6.5,7794,60,
The Frankenstein Chronicles,(2015–2017),Crime$ Drama$ Fantasy,7.3,10591,48,
The Ghost Writer,-2010,Crime$ Drama$ Mystery,7.2,159090,128,$15.54M
The Boy Who Harnessed the Wind,-2019,Biography$ Drama$ History,7.6,32661,113,
Hoo-goong: Je-wang-eui cheob,-2012,Drama$ History$ Romance,6.1,1756,122,
War Machine,-2017,Comedy$ Drama$ War,6,43574,122,
Traitors,-2019,Thriller,6.6,2568,60,
Welcome Home,(I) (2018),Thriller,5.2,6846,97,
Big Timber,(2020– ),Reality-TV,6.5,333,,
The Good Cop,-2018,Comedy$ Crime$ Drama,7.1,5172,60,
Chen qing ling,-2019,Action$ Adventure$ Drama,9,4650,50,
Batman: The Movie,-1966,Adventure$ Comedy$ Crime,6.5,30610,105,
Dark Places,-2015,Crime$ Drama$ Mystery,6.2,43273,113,
6 Days,(I) (2017),Action$ Drama$ History,6.2,19869,94,
Toy Boy,-2019,Crime$ Drama$ Thriller,6.4,5774,,
The Hour,(2011–2012),Drama,8,9753,60,
Tall Girl,-2019,Comedy$ Drama$ Family,5.2,19380,101,
The Real Housewives of New York City,(2008– ),Reality-TV,4.5,3254,44,
Being Human,(2008–2013),Comedy$ Drama$ Fantasy,7.8,24392,60,
Psycho-Pass,(2012– ),Animation$ Action$ Crime,8.2,16859,25,
Cam,-2018,Drama$ Horror$ Mystery,5.9,28739,94,
Kono subarashii sekai ni shukufuku o!,(2016–2017),Animation$ Adventure$ Comedy,7.8,7626,24,
Leyla ile Mecnun,(2011–2021),Adventure$ Comedy$ Drama,9.1,90655,80,
Boyka: Undisputed IV,(2016 Video),Action$ Drama$ Sport,7,26802,86,
V-Wars,-2019,Drama$ Horror$ Sci-Fi,6.1,12690,60,
Between Two Ferns: The Movie,-2019,Comedy,6.1,28298,82,
Sijipeuseu: The Myth,(2021– ),Action$ Drama$ Fantasy,7.1,2359,70,
A Perfect Ending,-2012,Drama$ Romance,5.7,4044,110,
Das schaurige Haus,-2020,Drama$ Family$ Fantasy,5.4,2713,100,
Nightflyers,-2018,Drama$ Horror$ Mystery,5.9,12288,60,
Hotel Del Luna,-2019,Drama$ Fantasy$ Horror,8.2,4854,80,
The Baby-Sitters Club,(2020– ),Comedy$ Drama$ Family,7.4,2599,,
Rim of the World,-2019,Action$ Adventure$ Comedy,5.2,20693,98,
Crossing Lines,(2013–2015),Action$ Crime$ Drama,7.3,12545,43,
We Bare Bears,(2014–2019),Animation$ Adventure$ Comedy,7.9,12975,30,
The Saint,(2017 TV Movie),Action$ Adventure$ Crime,4.9,6077,91,
Night in Paradise,-2020,Action$ Crime$ Drama,6.7,4668,131,
Ezel,(2009–2011),Crime$ Drama$ Thriller,8.6,29151,90,
Kimbiseoga wae geureolkka,-2018,Comedy$ Mystery$ Romance,8.1,7696,60,
Amar,-2017,Drama$ Romance,5.2,4083,105,
Le convoyeur,-2004,Action$ Crime$ Drama,6.6,3525,95,
Soupçons,(2004–2018),Documentary$ Crime$ Drama,7.9,20200,629,
Valley of the Dolls,-1967,Drama$ Music$ Romance,6,7900,123,$44.43M
Tidelands,-2018,Crime$ Drama$ Fantasy,7,7104,60,
The Shack,(I) (2017),Drama$ Fantasy,6.3,31775,132,$57.39M
To the Lake,(I) (2019),Drama$ Sci-Fi$ Thriller,7.3,10507,,
Escape From Spiderhead,-2021,Action$ Mystery$ Sci-Fi,,,,
Yakuza and the Family,-2020,Crime$ Drama,7,1192,136,
Maggie,(I) (2015),Drama$ Horror$ Sci-Fi,5.6,42895,95,$0.19M
Broken City,-2013,Action$ Crime$ Drama,6.2,77749,109,$19.70M
Delhi Crime,(2019– ),Crime$ Drama,8.5,15928,50,
La Mante,-2017,Crime$ Drama$ Thriller,7.4,12210,52,
Step Up 2: The Streets,-2008,Drama$ Music$ Romance,6.2,82792,98,$58.02M
Move to Heaven,(2021– ),Drama,8.7,2598,60,
Baby,(2018–2020),Drama,6.8,9336,50,
L'incredibile storia dell'Isola delle Rose,-2020,Adventure$ Comedy$ Drama,7,16127,117,
Jeopardy!,(1984– ),Game-Show,8.2,6528,30,
Miracle in Cell No. 7,-2019,Drama,8.2,41099,132,
Contraband,-2012,Action$ Crime$ Drama,6.4,119261,109,$66.53M
The Client,-1994,Crime$ Drama$ Mystery,6.7,62748,119,$92.12M
Mirror Mirror,(I) (2012),Adventure$ Comedy$ Drama,5.6,85615,106,$64.94M
Otherhood,-2019,Comedy,6.1,10213,100,
A.N.T. Farm,(2011–2014),Comedy$ Drama$ Family,5.1,6347,30,
Chappelle's Show,(2003–2006),Comedy$ Music,8.7,57671,22,
You Me Her,(2016–2020),Comedy$ Drama$ Romance,7,9698,28,
Heist,(III) (2015),Action$ Crime$ Drama,6.1,28949,93,
Órbita 9,-2017,Drama$ Romance$ Sci-Fi,5.9,7123,95,
Bitten,(2014–2016),Drama$ Fantasy$ Horror,7,16925,44,
The World's Most Amazing Vacation Rentals,(2021– ),Reality-TV,6.6,685,,
Black Mirror: Bandersnatch,-2018,Drama$ Fantasy$ Mystery,7.1,118074,90,
Johnny Test,(2005– ),Animation$ Action$ Adventure,5.1,7357,30,
I Spit on Your Grave 2,-2013,Horror$ Thriller,5.7,28118,106,$0.00M
The Boys in the Band,-2020,Drama,6.8,13250,121,
Une fille facile,-2019,Comedy$ Drama,5.6,4398,92,
The Great Gatsby,-1974,Drama$ Romance,6.4,24087,144,$6.74M
Mimi wo sumaseba,-1995,Animation$ Drama$ Family,7.9,55741,111,
Rebecka Martinsson,(2017– ),Crime$ Drama$ Mystery,7.2,2356,45,
Avengement,(I) (2019),Action$ Crime,6.6,12996,87,
Thelma,-2017,Drama$ Fantasy$ Horror,7,28282,116,$0.15M
Step Up 3D,-2010,Drama$ Music$ Romance,6.2,56610,107,$42.40M
Seaspiracy,-2021,Documentary$ Adventure,8.2,25217,89,
Drop Dead Diva,(2009–2014),Comedy$ Drama,7.4,18697,60,
High-Rise Invasion,(2021– ),Animation$ Action$ Horror,6.7,1836,25,
La casa de las flores,(2018–2020),Comedy$ Drama,7.6,7172,60,
Eung-dab-ha-ra 1988,(2015–2016),Comedy$ Drama$ Family,9.1,4663,90,
Triple Threat,-2019,Action$ Thriller,5.6,10345,96,$0.08M
Are You the One?,(2014– ),Reality-TV,6.5,2061,41,
Dogs of Berlin,(2018– ),Action$ Crime$ Drama,7.6,11304,542,
Dash & Lily,(2020– ),Comedy$ Drama$ Romance,7.5,12908,,
Rebellion,(2016–2019),Drama$ History$ War,7.2,3096,258,
The Willoughbys,-2020,Animation$ Adventure$ Comedy,6.4,15654,90,
Inuyasha,(2000–2004),Animation$ Action$ Adventure,7.9,15149,24,
Gyeongiroun Somun,(2020– ),Action$ Fantasy$ Horror,8.2,3546,65,
